X,CH1,CH2,,
Sequence,Volt,Volt,,
0,-7.20E-01,-2.52E+00,,
1,-5.60E-01,-2.44E+00,,
2,-6.40E-01,-2.52E+00,,
3,-5.20E-01,-2.40E+00,,
4,-6.00E-01,-2.52E+00,,
5,-4.40E-01,-2.40E+00,,
6,-5.20E-01,-2.52E+00,,
7,-4.00E-01,-2.40E+00,,
8,-4.80E-01,-2.48E+00,,
9,-3.20E-01,-2.40E+00,,
10,-4.00E-01,-2.48E+00,,
11,-2.80E-01,-2.36E+00,,
12,-3.60E-01,-2.36E+00,,
13,-2.00E-01,-2.48E+00,,
14,-2.80E-01,-2.40E+00,,
15,-1.60E-01,-2.48E+00,,
16,-2.00E-01,-2.44E+00,,
17,-8.00E-02,-2.32E+00,,
18,-1.20E-01,-2.44E+00,,
19,0.00E+00,-2.32E+00,,
20,-8.00E-02,-2.40E+00,,
21,4.00E-02,-2.32E+00,,
22,0.00E+00,-2.40E+00,,
23,1.20E-01,-2.28E+00,,
24,8.00E-02,-2.40E+00,,
25,2.00E-01,-2.28E+00,,
26,1.20E-01,-2.36E+00,,
27,2.80E-01,-2.24E+00,,
28,2.00E-01,-2.28E+00,,
29,3.20E-01,-2.36E+00,,
30,2.40E-01,-2.32E+00,,
31,3.60E-01,-2.20E+00,,
32,3.20E-01,-2.28E+00,,
33,4.40E-01,-2.16E+00,,
34,3.60E-01,-2.24E+00,,
35,5.20E-01,-2.12E+00,,
36,4.40E-01,-2.12E+00,,
37,5.60E-01,-2.24E+00,,
38,4.80E-01,-2.20E+00,,
39,6.40E-01,-2.08E+00,,
40,5.60E-01,-2.16E+00,,
41,6.80E-01,-2.04E+00,,
42,6.00E-01,-2.16E+00,,
43,7.20E-01,-2.00E+00,,
44,6.80E-01,-2.08E+00,,
45,8.00E-01,-1.96E+00,,
46,7.20E-01,-2.08E+00,,
47,8.40E-01,-1.92E+00,,
48,8.00E-01,-2.04E+00,,
49,9.20E-01,-1.88E+00,,
50,8.40E-01,-2.00E+00,,
51,9.60E-01,-1.84E+00,,
52,8.80E-01,-1.96E+00,,
53,1.04E+00,-1.84E+00,,
54,9.60E-01,-1.92E+00,,
55,1.08E+00,-1.76E+00,,
56,1.00E+00,-1.88E+00,,
57,1.12E+00,-1.72E+00,,
58,1.08E+00,-1.84E+00,,
59,1.20E+00,-1.68E+00,,
60,1.16E+00,-1.80E+00,,
61,1.28E+00,-1.64E+00,,
62,1.20E+00,-1.76E+00,,
63,1.32E+00,-1.60E+00,,
64,1.24E+00,-1.72E+00,,
65,1.40E+00,-1.56E+00,,
66,1.32E+00,-1.64E+00,,
67,1.44E+00,-1.52E+00,,
68,1.36E+00,-1.60E+00,,
69,1.48E+00,-1.48E+00,,
70,1.40E+00,-1.56E+00,,
71,1.52E+00,-1.44E+00,,
72,1.44E+00,-1.52E+00,,
73,1.60E+00,-1.36E+00,,
74,1.52E+00,-1.44E+00,,
75,1.64E+00,-1.28E+00,,
76,1.56E+00,-1.40E+00,,
77,1.68E+00,-1.28E+00,,
78,1.60E+00,-1.32E+00,,
79,1.72E+00,-1.20E+00,,
80,1.64E+00,-1.28E+00,,
81,1.76E+00,-1.16E+00,,
82,1.68E+00,-1.20E+00,,
83,1.80E+00,-1.08E+00,,
84,1.72E+00,-1.16E+00,,
85,1.84E+00,-1.04E+00,,
86,1.76E+00,-1.08E+00,,
87,1.88E+00,-9.60E-01,,
88,1.80E+00,-1.04E+00,,
89,1.96E+00,-9.20E-01,,
90,1.96E+00,-1.00E+00,,
91,1.84E+00,-8.40E-01,,
92,1.88E+00,-9.20E-01,,
93,2.00E+00,-8.00E-01,,
94,1.92E+00,-8.80E-01,,
95,2.04E+00,-7.20E-01,,
96,1.96E+00,-8.40E-01,,
97,2.08E+00,-6.80E-01,,
98,2.00E+00,-7.60E-01,,
99,2.12E+00,-6.40E-01,,
100,2.04E+00,-7.20E-01,,
101,2.16E+00,-5.60E-01,,
102,2.08E+00,-6.40E-01,,
103,2.20E+00,-5.20E-01,,
104,2.12E+00,-6.00E-01,,
105,2.20E+00,-4.40E-01,,
106,2.12E+00,-5.20E-01,,
107,2.24E+00,-4.00E-01,,
108,2.16E+00,-4.80E-01,,
109,2.28E+00,-3.20E-01,,
110,2.20E+00,-4.00E-01,,
111,2.32E+00,-2.80E-01,,
112,2.20E+00,-3.60E-01,,
113,2.32E+00,-2.00E-01,,
114,2.24E+00,-2.80E-01,,
115,2.36E+00,-1.60E-01,,
116,2.36E+00,-2.00E-01,,
117,2.28E+00,-8.00E-02,,
118,2.28E+00,-1.20E-01,,
119,2.44E+00,0.00E+00,,
120,2.40E+00,-8.00E-02,,
121,2.36E+00,4.00E-02,,
122,2.32E+00,0.00E+00,,
123,2.48E+00,1.20E-01,,
124,2.36E+00,8.00E-02,,
125,2.48E+00,2.00E-01,,
126,2.40E+00,1.20E-01,,
127,2.48E+00,2.80E-01,,
128,2.52E+00,2.00E-01,,
129,2.40E+00,3.20E-01,,
130,2.48E+00,2.40E-01,,
131,2.44E+00,3.60E-01,,
132,2.44E+00,3.20E-01,,
133,2.48E+00,4.40E-01,,
134,2.44E+00,3.60E-01,,
135,2.56E+00,5.20E-01,,
136,2.56E+00,4.40E-01,,
137,2.44E+00,5.60E-01,,
138,2.48E+00,4.80E-01,,
139,2.56E+00,6.40E-01,,
140,2.56E+00,5.60E-01,,
141,2.48E+00,6.80E-01,,
142,2.48E+00,6.00E-01,,
143,2.56E+00,7.20E-01,,
144,2.52E+00,6.80E-01,,
145,2.48E+00,8.00E-01,,
146,2.48E+00,7.20E-01,,
147,2.52E+00,8.40E-01,,
148,2.48E+00,8.00E-01,,
149,2.56E+00,9.20E-01,,
150,2.48E+00,8.40E-01,,
151,2.56E+00,9.60E-01,,
152,2.48E+00,8.80E-01,,
153,2.56E+00,1.04E+00,,
154,2.56E+00,9.60E-01,,
155,2.44E+00,1.08E+00,,
156,2.56E+00,1.00E+00,,
157,2.44E+00,1.12E+00,,
158,2.44E+00,1.08E+00,,
159,2.56E+00,1.20E+00,,
160,2.44E+00,1.16E+00,,
161,2.48E+00,1.28E+00,,
162,2.52E+00,1.20E+00,,
163,2.40E+00,1.32E+00,,
164,2.52E+00,1.24E+00,,
165,2.40E+00,1.40E+00,,
166,2.40E+00,1.32E+00,,
167,2.48E+00,1.44E+00,,
168,2.48E+00,1.36E+00,,
169,2.36E+00,1.48E+00,,
170,2.48E+00,1.40E+00,,
171,2.32E+00,1.52E+00,,
172,2.44E+00,1.44E+00,,
173,2.32E+00,1.60E+00,,
174,2.44E+00,1.52E+00,,
175,2.28E+00,1.64E+00,,
176,2.36E+00,1.56E+00,,
177,2.24E+00,1.68E+00,,
178,2.36E+00,1.60E+00,,
179,2.24E+00,1.72E+00,,
180,2.32E+00,1.64E+00,,
181,2.20E+00,1.76E+00,,
182,2.28E+00,1.68E+00,,
183,2.16E+00,1.80E+00,,
184,2.28E+00,1.72E+00,,
185,2.16E+00,1.84E+00,,
186,2.24E+00,1.76E+00,,
187,2.12E+00,1.88E+00,,
188,2.20E+00,1.80E+00,,
189,2.08E+00,1.96E+00,,
190,2.08E+00,1.96E+00,,
191,2.16E+00,1.84E+00,,
192,2.16E+00,1.88E+00,,
193,2.04E+00,2.00E+00,,
194,2.12E+00,1.92E+00,,
195,2.00E+00,2.04E+00,,
196,2.08E+00,1.96E+00,,
197,1.96E+00,2.08E+00,,
198,2.04E+00,2.00E+00,,
199,1.92E+00,2.12E+00,,
200,2.00E+00,2.04E+00,,
201,1.88E+00,2.16E+00,,
202,1.96E+00,2.08E+00,,
203,1.84E+00,2.20E+00,,
204,1.92E+00,2.12E+00,,
205,1.80E+00,2.20E+00,,
206,1.88E+00,2.12E+00,,
207,1.76E+00,2.24E+00,,
208,1.84E+00,2.16E+00,,
209,1.72E+00,2.28E+00,,
210,1.80E+00,2.20E+00,,
211,1.68E+00,2.32E+00,,
212,1.76E+00,2.20E+00,,
213,1.64E+00,2.32E+00,,
214,1.72E+00,2.24E+00,,
215,1.56E+00,2.36E+00,,
216,1.68E+00,2.36E+00,,
217,1.52E+00,2.28E+00,,
218,1.60E+00,2.28E+00,,
219,1.48E+00,2.44E+00,,
220,1.56E+00,2.40E+00,,
221,1.44E+00,2.36E+00,,
222,1.52E+00,2.32E+00,,
223,1.40E+00,2.48E+00,,
224,1.48E+00,2.36E+00,,
225,1.32E+00,2.48E+00,,
226,1.44E+00,2.40E+00,,
227,1.28E+00,2.48E+00,,
228,1.36E+00,2.52E+00,,
229,1.24E+00,2.40E+00,,
230,1.28E+00,2.48E+00,,
231,1.16E+00,2.44E+00,,
232,1.28E+00,2.44E+00,,
233,1.12E+00,2.48E+00,,
234,1.16E+00,2.44E+00,,
235,1.04E+00,2.56E+00,,
236,1.12E+00,2.56E+00,,
237,1.00E+00,2.44E+00,,
238,1.08E+00,2.48E+00,,
239,9.20E-01,2.56E+00,,
240,1.00E+00,2.56E+00,,
241,8.80E-01,2.48E+00,,
242,9.60E-01,2.48E+00,,
243,8.00E-01,2.56E+00,,
244,8.80E-01,2.52E+00,,
245,7.60E-01,2.48E+00,,
246,8.40E-01,2.48E+00,,
247,6.80E-01,2.52E+00,,
248,7.60E-01,2.48E+00,,
249,6.40E-01,2.56E+00,,
250,7.20E-01,2.48E+00,,
251,6.00E-01,2.56E+00,,
252,6.40E-01,2.48E+00,,
253,5.20E-01,2.56E+00,,
254,6.00E-01,2.56E+00,,
255,4.80E-01,2.44E+00,,
256,5.20E-01,2.56E+00,,
257,4.00E-01,2.44E+00,,
258,4.80E-01,2.44E+00,,
259,3.60E-01,2.56E+00,,
